Accelerometer X,Accelerometer Y,Accelerometer Z,Time(s)
-0.133,0.469,-0.922,0.011
-0.141,0.445,-0.91,0.022
-0.133,0.441,-0.914,0.033
-0.137,0.438,-0.914,0.044
-0.137,0.441,-0.906,0.055
-0.137,0.441,-0.906,0.066
-0.148,0.441,-0.906,0.077
-0.148,0.441,-0.906,0.088
-0.156,0.441,-0.902,0.099
-0.164,0.441,-0.902,0.11
-0.168,0.441,-0.906,0.121
-0.16,0.438,-0.906,0.132
-0.16,0.441,-0.91,0.143
-0.156,0.441,-0.906,0.154
-0.152,0.438,-0.906,0.165
-0.156,0.441,-0.902,0.176
-0.145,0.434,-0.906,0.187
-0.141,0.438,-0.902,0.198
-0.145,0.438,-0.902,0.209
-0.137,0.438,-0.902,0.22
-0.145,0.438,-0.902,0.231
-0.152,0.438,-0.902,0.242
-0.152,0.438,-0.902,0.253
-0.152,0.438,-0.906,0.264
-0.156,0.441,-0.906,0.275
-0.152,0.438,-0.902,0.286
-0.148,0.438,-0.902,0.297
-0.148,0.434,-0.906,0.308
-0.152,0.434,-0.906,0.319
-0.152,0.438,-0.902,0.33
-0.156,0.438,-0.902,0.341
-0.156,0.438,-0.906,0.352
-0.156,0.441,-0.902,0.363
-0.164,0.438,-0.906,0.374
-0.164,0.438,-0.906,0.385
-0.164,0.441,-0.902,0.396
-0.16,0.441,-0.902,0.407
-0.168,0.438,-0.902,0.418
-0.164,0.438,-0.902,0.429
-0.164,0.441,-0.906,0.44
-0.16,0.438,-0.906,0.451
-0.156,0.438,-0.91,0.462
-0.156,0.43,-0.906,0.473
-0.156,0.434,-0.906,0.484
-0.156,0.438,-0.902,0.495
-0.152,0.449,-0.902,0.506
-0.152,0.441,-0.902,0.517
-0.152,0.441,-0.906,0.528
-0.16,0.438,-0.91,0.539
-0.16,0.438,-0.91,0.55
-0.16,0.438,-0.91,0.561
-0.16,0.438,-0.906,0.572
-0.16,0.441,-0.902,0.583
-0.156,0.438,-0.902,0.594
-0.164,0.438,-0.902,0.605
-0.164,0.441,-0.906,0.616
-0.16,0.438,-0.906,0.627
-0.16,0.438,-0.902,0.638
-0.164,0.438,-0.902,0.649
-0.164,0.438,-0.902,0.66
-0.164,0.438,-0.902,0.671
-0.156,0.434,-0.906,0.682
-0.152,0.434,-0.91,0.693
-0.148,0.434,-0.906,0.704
-0.152,0.434,-0.902,0.715
-0.152,0.434,-0.902,0.726
-0.156,0.438,-0.902,0.737
-0.16,0.434,-0.902,0.748
-0.16,0.434,-0.902,0.759
-0.164,0.438,-0.902,0.77
-0.168,0.438,-0.906,0.781
-0.172,0.434,-0.902,0.792
-0.172,0.43,-0.902,0.803
-0.168,0.434,-0.906,0.814
-0.168,0.434,-0.902,0.825
-0.168,0.434,-0.902,0.836
-0.16,0.43,-0.902,0.847
-0.152,0.426,-0.906,0.858
-0.156,0.434,-0.902,0.869
-0.152,0.438,-0.906,0.88
-0.152,0.438,-0.906,0.891
-0.156,0.434,-0.91,0.902
-0.164,0.438,-0.906,0.913
-0.168,0.438,-0.906,0.924
-0.168,0.438,-0.906,0.935
-0.168,0.438,-0.902,0.946
-0.168,0.438,-0.902,0.957
-0.164,0.43,-0.902,0.968
-0.156,0.434,-0.906,0.979
-0.156,0.434,-0.906,0.99
-0.156,0.449,-0.91,1.001
-0.164,0.438,-0.906,1.012
-0.164,0.438,-0.906,1.023
-0.168,0.438,-0.91,1.034
-0.168,0.438,-0.91,1.045
-0.172,0.438,-0.906,1.056
-0.168,0.434,-0.906,1.067
-0.172,0.438,-0.902,1.078
-0.168,0.434,-0.902,1.089
-0.168,0.434,-0.902,1.1
-0.164,0.438,-0.902,1.111
-0.16,0.434,-0.902,1.122
-0.16,0.434,-0.906,1.133
-0.16,0.434,-0.918,1.144
-0.16,0.434,-0.91,1.155
-0.156,0.43,-0.906,1.166
-0.156,0.434,-0.906,1.177
-0.16,0.438,-0.902,1.188
-0.164,0.434,-0.902,1.199
-0.164,0.434,-0.902,1.21
-0.168,0.438,-0.902,1.221
-0.168,0.434,-0.906,1.232
-0.168,0.434,-0.906,1.243
-0.164,0.438,-0.906,1.254
-0.164,0.438,-0.906,1.265
-0.168,0.438,-0.906,1.276
-0.168,0.438,-0.902,1.287
-0.168,0.434,-0.902,1.298
-0.16,0.434,-0.906,1.309
-0.164,0.434,-0.906,1.32
-0.16,0.438,-0.902,1.331
-0.168,0.438,-0.898,1.342
-0.164,0.434,-0.902,1.353
-0.168,0.438,-0.906,1.364
-0.16,0.43,-0.906,1.375
-0.16,0.434,-0.91,1.386
-0.152,0.438,-0.91,1.397
-0.152,0.441,-0.91,1.408
-0.156,0.438,-0.906,1.419
-0.164,0.434,-0.902,1.43
