Time_s,X,Y,Z
0.033,0.398,-0.035,-0.918
0.066,0.371,-0.07,-0.938
0.099,0.363,-0.063,-0.93
0.132,0.371,-0.066,-0.926
0.165,0.375,-0.07,-0.93
0.198,0.371,-0.07,-0.93
0.231,0.371,-0.066,-0.934
0.264,0.379,-0.063,-0.926
0.297,0.379,-0.07,-0.934
0.33,0.375,-0.074,-0.934
0.363,0.371,-0.063,-0.934
0.396,0.375,-0.07,-0.934
0.429,0.379,-0.07,-0.934
0.462,0.371,-0.066,-0.93
0.495,0.371,-0.063,-0.934
0.528,0.383,-0.059,-0.93
0.561,0.375,-0.066,-0.926
0.594,0.379,-0.066,-0.93
0.627,0.383,-0.063,-0.93
0.66,0.383,-0.063,-0.926
0.693,0.375,-0.066,-0.926
0.726,0.379,-0.07,-0.93
0.759,0.387,-0.063,-0.926
0.792,0.379,-0.066,-0.93
0.825,0.375,-0.07,-0.93
0.858,0.371,-0.066,-0.93
0.891,0.391,-0.074,-0.934
0.924,0.383,-0.063,-0.926
0.957,0.359,-0.063,-0.938
0.99,0.367,-0.078,-0.922
1.023,0.395,-0.074,-0.922
1.056,0.395,-0.063,-0.926
1.089,0.359,-0.055,-0.938
1.122,0.344,-0.059,-0.934
1.155,0.383,-0.082,-0.926
1.188,0.402,-0.086,-0.918
1.221,0.379,-0.063,-0.93
1.254,0.359,-0.055,-0.934
1.287,0.363,-0.063,-0.93
1.32,0.379,-0.066,-0.93
1.353,0.387,-0.078,-0.93
1.386,0.383,-0.07,-0.918
1.419,0.379,-0.059,-0.93
1.452,0.371,-0.066,-0.93
1.485,0.371,-0.066,-0.93
1.518,0.387,-0.059,-0.926
1.551,0.391,-0.074,-0.926
1.584,0.383,-0.066,-0.93
1.617,0.379,-0.063,-0.93
1.65,0.379,-0.063,-0.922
1.683,0.383,-0.063,-0.926
1.716,0.387,-0.07,-0.926
1.749,0.391,-0.063,-0.93
1.782,0.387,-0.066,-0.93
1.815,0.383,-0.063,-0.922
1.848,0.383,-0.063,-0.93
1.881,0.387,-0.063,-0.926
1.914,0.387,-0.066,-0.922
1.947,0.387,-0.066,-0.93
1.98,0.387,-0.07,-0.926
2.013,0.387,-0.055,-0.93
2.046,0.387,-0.063,-0.926
2.079,0.387,-0.063,-0.926
2.112,0.387,-0.063,-0.922
2.145,0.383,-0.066,-0.93
2.178,0.379,-0.063,-0.926
2.211,0.391,-0.066,-0.922
2.244,0.387,-0.066,-0.926
2.277,0.383,-0.063,-0.926
2.31,0.383,-0.063,-0.926
2.343,0.387,-0.066,-0.926
2.376,0.387,-0.063,-0.926
2.409,0.387,-0.063,-0.926
2.442,0.387,-0.074,-0.926
2.475,0.391,-0.063,-0.926
2.508,0.391,-0.059,-0.93
2.541,0.391,-0.063,-0.93
2.574,0.387,-0.066,-0.922
2.607,0.391,-0.066,-0.926
2.64,0.383,-0.059,-0.926
2.673,0.383,-0.07,-0.922
2.706,0.387,-0.063,-0.922
2.739,0.391,-0.063,-0.918
2.772,0.387,-0.063,-0.922
2.805,0.387,-0.063,-0.926
2.838,0.387,-0.063,-0.926
2.871,0.398,-0.07,-0.926
2.904,0.395,-0.063,-0.93
2.937,0.383,-0.066,-0.926
2.97,0.383,-0.066,-0.934
3.003,0.398,-0.055,-0.926
3.036,0.391,-0.059,-0.922
3.069,0.387,-0.07,-0.926
3.102,0.383,-0.063,-0.93
3.135,0.391,-0.066,-0.922
3.168,0.387,-0.066,-0.926
3.201,0.391,-0.066,-0.926
3.234,0.391,-0.063,-0.922
3.267,0.391,-0.07,-0.918
3.3,0.391,-0.059,-0.926
3.333,0.395,-0.063,-0.926
3.366,0.387,-0.059,-0.918
3.399,0.379,-0.063,-0.926
3.432,0.398,-0.063,-0.918
3.465,0.391,-0.063,-0.93
3.498,0.398,-0.051,-0.93
3.531,0.391,-0.063,-0.922
3.564,0.387,-0.063,-0.93
3.597,0.391,-0.063,-0.926
3.63,0.395,-0.066,-0.926
3.663,0.391,-0.066,-0.918
3.696,0.391,-0.063,-0.93
3.729,0.391,-0.066,-0.918
3.762,0.391,-0.059,-0.922
3.795,0.387,-0.063,-0.922
3.828,0.395,-0.066,-0.922
3.861,0.398,-0.066,-0.922
3.894,0.391,-0.063,-0.922
3.927,0.391,-0.059,-0.922
3.96,0.387,-0.063,-0.922
3.993,0.395,-0.059,-0.922
4.026,0.383,-0.063,-0.926
4.059,0.395,-0.063,-0.918
4.092,0.395,-0.063,-0.922
4.125,0.387,-0.066,-0.922
4.158,0.387,-0.063,-0.922
4.191,0.391,-0.063,-0.922
4.224,0.391,-0.066,-0.93
4.257,0.391,-0.066,-0.93
4.29,0.395,-0.063,-0.926
4.323,0.391,-0.063,-0.922
4.356,0.383,-0.066,-0.926
4.389,0.391,-0.066,-0.926
4.422,0.383,-0.066,-0.922
4.455,0.391,-0.063,-0.918
4.488,0.395,-0.051,-0.922
4.521,0.391,-0.066,-0.926
4.554,0.375,-0.063,-0.926
4.587,0.387,-0.063,-0.922
4.62,0.391,-0.059,-0.922
4.653,0.391,-0.063,-0.926
4.686,0.383,-0.07,-0.926
4.719,0.395,-0.066,-0.918
4.752,0.398,-0.07,-0.926
4.785,0.391,-0.063,-0.93
4.818,0.375,-0.059,-0.93
4.851,0.391,-0.063,-0.93
4.884,0.395,-0.066,-0.922
4.917,0.387,-0.066,-0.926
4.95,0.379,-0.063,-0.926
4.983,0.383,-0.051,-0.934
5.016,0.383,-0.063,-0.93
5.049,0.391,-0.066,-0.926
5.082,0.387,-0.063,-0.922
5.115,0.383,-0.066,-0.926
5.148,0.379,-0.063,-0.926
5.181,0.383,-0.066,-0.926
5.214,0.387,-0.066,-0.926
5.247,0.391,-0.07,-0.918
5.28,0.383,-0.063,-0.93
5.313,0.375,-0.063,-0.93
5.346,0.387,-0.066,-0.926
5.379,0.379,-0.059,-0.922
5.412,0.391,-0.07,-0.918
5.445,0.383,-0.066,-0.93
5.478,0.379,-0.051,-0.926
5.511,0.391,-0.074,-0.926
5.544,0.383,-0.063,-0.93
5.577,0.379,-0.059,-0.926
5.61,0.379,-0.063,-0.926
5.643,0.398,-0.074,-0.93
5.676,0.387,-0.063,-0.918
5.709,0.371,-0.059,-0.934
5.742,0.375,-0.066,-0.926
5.775,0.395,-0.082,-0.918
5.808,0.398,-0.07,-0.926
5.841,0.363,-0.059,-0.93
5.874,0.355,-0.055,-0.926
5.907,0.387,-0.063,-0.93
5.94,0.395,-0.07,-0.922
5.973,0.387,-0.063,-0.93
6.006,0.375,-0.063,-0.93
6.039,0.379,-0.063,-0.93
6.072,0.379,-0.063,-0.926
6.105,0.383,-0.066,-0.922
6.138,0.383,-0.066,-0.934
6.171,0.383,-0.066,-0.926
6.204,0.383,-0.063,-0.926
6.237,0.387,-0.066,-0.93
6.27,0.383,-0.063,-0.922
6.303,0.383,-0.063,-0.926
6.336,0.383,-0.066,-0.926
6.369,0.387,-0.063,-0.93
6.402,0.387,-0.059,-0.926
6.435,0.383,-0.066,-0.926
6.468,0.391,-0.055,-0.926
6.501,0.383,-0.063,-0.926
6.534,0.383,-0.066,-0.926
6.567,0.383,-0.059,-0.922
6.6,0.387,-0.063,-0.93
6.633,0.391,-0.07,-0.922
6.666,0.387,-0.078,-0.93
6.699,0.379,-0.063,-0.926
6.732,0.383,-0.066,-0.922
6.765,0.387,-0.066,-0.926
6.798,0.387,-0.07,-0.93
6.831,0.383,-0.063,-0.926
6.864,0.391,-0.07,-0.922
6.897,0.383,-0.063,-0.93
6.93,0.387,-0.07,-0.926
6.963,0.379,-0.051,-0.926
6.996,0.391,-0.066,-0.93
7.029,0.387,-0.074,-0.926
7.062,0.383,-0.066,-0.93
7.095,0.379,-0.066,-0.926
7.128,0.383,-0.066,-0.926
7.161,0.387,-0.07,-0.93
7.194,0.391,-0.078,-0.93
7.227,0.375,-0.063,-0.93
7.26,0.379,-0.055,-0.926
7.293,0.387,-0.066,-0.93
7.326,0.383,-0.07,-0.93
7.359,0.379,-0.066,-0.922
7.392,0.375,-0.066,-0.922
7.425,0.387,-0.066,-0.922
7.458,0.391,-0.051,-0.93
7.491,0.375,-0.066,-0.934
7.524,0.375,-0.063,-0.926
7.557,0.387,-0.066,-0.93
7.59,0.391,-0.066,-0.926
7.623,0.375,-0.07,-0.926
7.656,0.367,-0.059,-0.934
7.689,0.379,-0.063,-0.922
7.722,0.387,-0.07,-0.926
7.755,0.379,-0.066,-0.926
7.788,0.375,-0.063,-0.926
7.821,0.387,-0.063,-0.926
7.854,0.383,-0.066,-0.926
7.887,0.375,-0.07,-0.93
7.92,0.367,-0.066,-0.93
7.953,0.383,-0.059,-0.926
7.986,0.383,-0.063,-0.926
8.019,0.379,-0.063,-0.934
8.052,0.371,-0.066,-0.93
8.085,0.383,-0.066,-0.926
8.118,0.387,-0.066,-0.926
8.151,0.383,-0.063,-0.926
8.184,0.375,-0.07,-0.938
8.217,0.375,-0.063,-0.934
8.25,0.367,-0.059,-0.934
8.283,0.383,-0.074,-0.93
8.316,0.387,-0.07,-0.926
8.349,0.375,-0.066,-0.93
8.382,0.363,-0.063,-0.934
8.415,0.371,-0.059,-0.93
8.448,0.391,-0.059,-0.93
8.481,0.387,-0.063,-0.93
8.514,0.379,-0.063,-0.93
8.547,0.383,-0.074,-0.93
8.58,0.379,-0.066,-0.93
8.613,0.367,-0.066,-0.934
8.646,0.375,-0.063,-0.926
8.679,0.387,-0.074,-0.926
8.712,0.387,-0.078,-0.926
8.745,0.367,-0.063,-0.926
8.778,0.375,-0.059,-0.93
8.811,0.383,-0.063,-0.922
8.844,0.379,-0.063,-0.926
8.877,0.363,-0.07,-0.938
8.91,0.367,-0.07,-0.93
8.943,0.379,-0.063,-0.938
8.976,0.367,-0.059,-0.934
9.009,0.375,-0.055,-0.926
9.042,0.383,-0.059,-0.926
9.075,0.379,-0.066,-0.926
9.108,0.383,-0.066,-0.922
9.141,0.387,-0.074,-0.93
9.174,0.383,-0.066,-0.938
9.207,0.379,-0.059,-0.93
9.24,0.391,-0.059,-0.926
9.273,0.391,-0.066,-0.926
9.306,0.383,-0.066,-0.926
9.339,0.371,-0.066,-0.926
9.372,0.379,-0.074,-0.93
9.405,0.391,-0.059,-0.926
9.438,0.391,-0.047,-0.922
9.471,0.387,-0.063,-0.926
9.504,0.387,-0.063,-0.922
9.537,0.395,-0.07,-0.922
9.57,0.387,-0.07,-0.926
9.603,0.383,-0.066,-0.926
9.636,0.371,-0.063,-0.926
9.669,0.391,-0.066,-0.922
9.702,0.414,-0.074,-0.918
9.735,0.398,-0.063,-0.922
9.768,0.383,-0.063,-0.926
9.801,0.383,-0.059,-0.93
9.834,0.395,-0.066,-0.918
9.867,0.391,-0.063,-0.926
9.9,0.371,-0.063,-0.93
9.933,0.375,-0.051,-0.922
9.966,0.387,-0.063,-0.93
9.999,0.387,-0.063,-0.922
10.032,0.391,-0.063,-0.922
10.065,0.395,-0.066,-0.922
10.098,0.387,-0.059,-0.926
