------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format M/d/yyyy at 30 Hz  Filter Normal -----------,,,
Serial Number: MOS2D42160427,,,
Start Time 14:13:00,,,
Start Date 4/20/2023,,,
Epoch Period (hh:mm:ss) 00:00:00,,,
Download Time 14:19:26,,,
Download Date 4/20/2023,,,
Current Memory Address: 0,,,
Current Battery Voltage: 4.17     Mode = 12,,,
--------------------------------------------------,,,
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
13:00.0,0.398,-0.035,-0.918
13:00.0,0.371,-0.07,-0.938
13:00.1,0.363,-0.063,-0.93
13:00.1,0.371,-0.066,-0.926
13:00.1,0.375,-0.07,-0.93
13:00.2,0.371,-0.07,-0.93
13:00.2,0.371,-0.066,-0.934
13:00.2,0.379,-0.063,-0.926
13:00.3,0.379,-0.07,-0.934
13:00.3,0.375,-0.074,-0.934
13:00.3,0.371,-0.063,-0.934
13:00.4,0.375,-0.07,-0.934
13:00.4,0.379,-0.07,-0.934
13:00.4,0.371,-0.066,-0.93
13:00.5,0.371,-0.063,-0.934
13:00.5,0.383,-0.059,-0.93
13:00.5,0.375,-0.066,-0.926
13:00.6,0.379,-0.066,-0.93
13:00.6,0.383,-0.063,-0.93
13:00.6,0.383,-0.063,-0.926
13:00.7,0.375,-0.066,-0.926
13:00.7,0.379,-0.07,-0.93
13:00.7,0.387,-0.063,-0.926
13:00.8,0.379,-0.066,-0.93
13:00.8,0.375,-0.07,-0.93
13:00.8,0.371,-0.066,-0.93
13:00.9,0.391,-0.074,-0.934
13:00.9,0.383,-0.063,-0.926
13:00.9,0.359,-0.063,-0.938
13:01.0,0.367,-0.078,-0.922
13:01.0,0.395,-0.074,-0.922
13:01.0,0.395,-0.063,-0.926
13:01.1,0.359,-0.055,-0.938
13:01.1,0.344,-0.059,-0.934
13:01.1,0.383,-0.082,-0.926
13:01.2,0.402,-0.086,-0.918
13:01.2,0.379,-0.063,-0.93
13:01.2,0.359,-0.055,-0.934
13:01.3,0.363,-0.063,-0.93
13:01.3,0.379,-0.066,-0.93
13:01.3,0.387,-0.078,-0.93
13:01.4,0.383,-0.07,-0.918
13:01.4,0.379,-0.059,-0.93
13:01.4,0.371,-0.066,-0.93
13:01.5,0.371,-0.066,-0.93
13:01.5,0.387,-0.059,-0.926
13:01.5,0.391,-0.074,-0.926
13:01.6,0.383,-0.066,-0.93
13:01.6,0.379,-0.063,-0.93
13:01.6,0.379,-0.063,-0.922
13:01.7,0.383,-0.063,-0.926
13:01.7,0.387,-0.07,-0.926
13:01.7,0.391,-0.063,-0.93
13:01.8,0.387,-0.066,-0.93
13:01.8,0.383,-0.063,-0.922
13:01.8,0.383,-0.063,-0.93
13:01.9,0.387,-0.063,-0.926
13:01.9,0.387,-0.066,-0.922
13:01.9,0.387,-0.066,-0.93
13:02.0,0.387,-0.07,-0.926
13:02.0,0.387,-0.055,-0.93
13:02.0,0.387,-0.063,-0.926
13:02.1,0.387,-0.063,-0.926
13:02.1,0.387,-0.063,-0.922
13:02.1,0.383,-0.066,-0.93
13:02.2,0.379,-0.063,-0.926
13:02.2,0.391,-0.066,-0.922
13:02.2,0.387,-0.066,-0.926
13:02.3,0.383,-0.063,-0.926
13:02.3,0.383,-0.063,-0.926
13:02.3,0.387,-0.066,-0.926
13:02.4,0.387,-0.063,-0.926
13:02.4,0.387,-0.063,-0.926
13:02.4,0.387,-0.074,-0.926
13:02.5,0.391,-0.063,-0.926
13:02.5,0.391,-0.059,-0.93
13:02.5,0.391,-0.063,-0.93
13:02.6,0.387,-0.066,-0.922
13:02.6,0.391,-0.066,-0.926
13:02.6,0.383,-0.059,-0.926
13:02.7,0.383,-0.07,-0.922
13:02.7,0.387,-0.063,-0.922
13:02.7,0.391,-0.063,-0.918
13:02.8,0.387,-0.063,-0.922
13:02.8,0.387,-0.063,-0.926
13:02.8,0.387,-0.063,-0.926
13:02.9,0.398,-0.07,-0.926
13:02.9,0.395,-0.063,-0.93
13:02.9,0.383,-0.066,-0.926
13:03.0,0.383,-0.066,-0.934
13:03.0,0.398,-0.055,-0.926
13:03.0,0.391,-0.059,-0.922
13:03.1,0.387,-0.07,-0.926
13:03.1,0.383,-0.063,-0.93
13:03.1,0.391,-0.066,-0.922
13:03.2,0.387,-0.066,-0.926
13:03.2,0.391,-0.066,-0.926
13:03.2,0.391,-0.063,-0.922
13:03.3,0.391,-0.07,-0.918
13:03.3,0.391,-0.059,-0.926
13:03.3,0.395,-0.063,-0.926
13:03.4,0.387,-0.059,-0.918
13:03.4,0.379,-0.063,-0.926
13:03.4,0.398,-0.063,-0.918
13:03.5,0.391,-0.063,-0.93
13:03.5,0.398,-0.051,-0.93
13:03.5,0.391,-0.063,-0.922
13:03.6,0.387,-0.063,-0.93
13:03.6,0.391,-0.063,-0.926
13:03.6,0.395,-0.066,-0.926
13:03.7,0.391,-0.066,-0.918
13:03.7,0.391,-0.063,-0.93
13:03.7,0.391,-0.066,-0.918
13:03.8,0.391,-0.059,-0.922
13:03.8,0.387,-0.063,-0.922
13:03.8,0.395,-0.066,-0.922
13:03.9,0.398,-0.066,-0.922
13:03.9,0.391,-0.063,-0.922
13:03.9,0.391,-0.059,-0.922
13:04.0,0.387,-0.063,-0.922
13:04.0,0.395,-0.059,-0.922
13:04.0,0.383,-0.063,-0.926
13:04.1,0.395,-0.063,-0.918
13:04.1,0.395,-0.063,-0.922
13:04.1,0.387,-0.066,-0.922
13:04.2,0.387,-0.063,-0.922
13:04.2,0.391,-0.063,-0.922
13:04.2,0.391,-0.066,-0.93
13:04.3,0.391,-0.066,-0.93
13:04.3,0.395,-0.063,-0.926
13:04.3,0.391,-0.063,-0.922
13:04.4,0.383,-0.066,-0.926
13:04.4,0.391,-0.066,-0.926
13:04.4,0.383,-0.066,-0.922
13:04.5,0.391,-0.063,-0.918
13:04.5,0.395,-0.051,-0.922
13:04.5,0.391,-0.066,-0.926
13:04.6,0.375,-0.063,-0.926
13:04.6,0.387,-0.063,-0.922
13:04.6,0.391,-0.059,-0.922
13:04.7,0.391,-0.063,-0.926
13:04.7,0.383,-0.07,-0.926
13:04.7,0.395,-0.066,-0.918
13:04.8,0.398,-0.07,-0.926
13:04.8,0.391,-0.063,-0.93
13:04.8,0.375,-0.059,-0.93
13:04.9,0.391,-0.063,-0.93
13:04.9,0.395,-0.066,-0.922
13:04.9,0.387,-0.066,-0.926
13:05.0,0.379,-0.063,-0.926
13:05.0,0.383,-0.051,-0.934
13:05.0,0.383,-0.063,-0.93
13:05.1,0.391,-0.066,-0.926
13:05.1,0.387,-0.063,-0.922
13:05.1,0.383,-0.066,-0.926
13:05.2,0.379,-0.063,-0.926
13:05.2,0.383,-0.066,-0.926
13:05.2,0.387,-0.066,-0.926
13:05.3,0.391,-0.07,-0.918
13:05.3,0.383,-0.063,-0.93
13:05.3,0.375,-0.063,-0.93
13:05.4,0.387,-0.066,-0.926
13:05.4,0.379,-0.059,-0.922
13:05.4,0.391,-0.07,-0.918
13:05.5,0.383,-0.066,-0.93
13:05.5,0.379,-0.051,-0.926
13:05.5,0.391,-0.074,-0.926
13:05.6,0.383,-0.063,-0.93
13:05.6,0.379,-0.059,-0.926
13:05.6,0.379,-0.063,-0.926
13:05.7,0.398,-0.074,-0.93
13:05.7,0.387,-0.063,-0.918
13:05.7,0.371,-0.059,-0.934
13:05.8,0.375,-0.066,-0.926
13:05.8,0.395,-0.082,-0.918
13:05.8,0.398,-0.07,-0.926
13:05.9,0.363,-0.059,-0.93
13:05.9,0.355,-0.055,-0.926
13:05.9,0.387,-0.063,-0.93
13:06.0,0.395,-0.07,-0.922
13:06.0,0.387,-0.063,-0.93
13:06.0,0.375,-0.063,-0.93
13:06.1,0.379,-0.063,-0.93
13:06.1,0.379,-0.063,-0.926
13:06.1,0.383,-0.066,-0.922
13:06.2,0.383,-0.066,-0.934
13:06.2,0.383,-0.066,-0.926
13:06.2,0.383,-0.063,-0.926
13:06.3,0.387,-0.066,-0.93
13:06.3,0.383,-0.063,-0.922
13:06.3,0.383,-0.063,-0.926
13:06.4,0.383,-0.066,-0.926
13:06.4,0.387,-0.063,-0.93
13:06.4,0.387,-0.059,-0.926
13:06.5,0.383,-0.066,-0.926
13:06.5,0.391,-0.055,-0.926
13:06.5,0.383,-0.063,-0.926
13:06.6,0.383,-0.066,-0.926
13:06.6,0.383,-0.059,-0.922
13:06.6,0.387,-0.063,-0.93
13:06.7,0.391,-0.07,-0.922
13:06.7,0.387,-0.078,-0.93
13:06.7,0.379,-0.063,-0.926
13:06.8,0.383,-0.066,-0.922
13:06.8,0.387,-0.066,-0.926
13:06.8,0.387,-0.07,-0.93
13:06.9,0.383,-0.063,-0.926
13:06.9,0.391,-0.07,-0.922
13:06.9,0.383,-0.063,-0.93
13:07.0,0.387,-0.07,-0.926
13:07.0,0.379,-0.051,-0.926
13:07.0,0.391,-0.066,-0.93
13:07.1,0.387,-0.074,-0.926
13:07.1,0.383,-0.066,-0.93
13:07.1,0.379,-0.066,-0.926
13:07.2,0.383,-0.066,-0.926
13:07.2,0.387,-0.07,-0.93
13:07.2,0.391,-0.078,-0.93
13:07.3,0.375,-0.063,-0.93
13:07.3,0.379,-0.055,-0.926
13:07.3,0.387,-0.066,-0.93
13:07.4,0.383,-0.07,-0.93
13:07.4,0.379,-0.066,-0.922
13:07.4,0.375,-0.066,-0.922
13:07.5,0.387,-0.066,-0.922
13:07.5,0.391,-0.051,-0.93
13:07.5,0.375,-0.066,-0.934
13:07.6,0.375,-0.063,-0.926
13:07.6,0.387,-0.066,-0.93
13:07.6,0.391,-0.066,-0.926
13:07.7,0.375,-0.07,-0.926
13:07.7,0.367,-0.059,-0.934
13:07.7,0.379,-0.063,-0.922
13:07.8,0.387,-0.07,-0.926
13:07.8,0.379,-0.066,-0.926
13:07.8,0.375,-0.063,-0.926
13:07.9,0.387,-0.063,-0.926
13:07.9,0.383,-0.066,-0.926
13:07.9,0.375,-0.07,-0.93
13:08.0,0.367,-0.066,-0.93
